チーム矢吹可奈6位	171802 pt
チーム矢吹可奈7位	154046 pt
チーム矢吹可奈8位	152494 pt
チーム矢吹可奈9位	149182 pt
チーム矢吹可奈10位	148694 pt
チーム矢吹可奈11位	147640 pt
チーム矢吹可奈12位	123521 pt
チーム矢吹可奈13位	122553 pt
チーム矢吹可奈14位	117814 pt
チーム矢吹可奈15位	104009 pt
チーム矢吹可奈16位	85292 pt
チーム矢吹可奈17位	79590 pt
チーム矢吹可奈18位	72775 pt
チーム矢吹可奈19位	55763 pt
チーム矢吹可奈20位	51056 pt
チーム矢吹可奈21位	50934 pt
チーム矢吹可奈22位	48905 pt
チーム矢吹可奈23位	46593 pt
チーム矢吹可奈24位	46262 pt
チーム矢吹可奈25位	41615 pt
チーム矢吹可奈26位	39139 pt
チーム矢吹可奈27位	37670 pt
チーム矢吹可奈28位	36695 pt
チーム矢吹可奈29位	36609 pt
チーム矢吹可奈30位	33353 pt
チーム横山奈緒1位	622084 pt
チーム横山奈緒2位	445156 pt
チーム横山奈緒3位	194158 pt
チーム横山奈緒4位	184267 pt
チーム横山奈緒5位	148734 pt
チーム横山奈緒6位	134648 pt
チーム横山奈緒7位	127482 pt
チーム横山奈緒8位	126503 pt
チーム横山奈緒9位	122644 pt
チーム横山奈緒10位	122277 pt
チーム横山奈緒11位	111382 pt
チーム横山奈緒12位	109622 pt
チーム横山奈緒13位	103244 pt
チーム横山奈緒14位	101021 pt
チーム横山奈緒15位	100750 pt
チーム横山奈緒16位	98241 pt
チーム横山奈緒17位	95453 pt
チーム横山奈緒18位	93070 pt
チーム横山奈緒19位	85355 pt
チーム横山奈緒20位	77387 pt
チーム横山奈緒21位	76182 pt
チーム横山奈緒22位	72283 pt
チーム横山奈緒23位	63972 pt
チーム横山奈緒24位	63723 pt
チーム横山奈緒25位	62661 pt
チーム横山奈緒26位	62483 pt
チーム横山奈緒27位	62230 pt
チーム横山奈緒28位	60054 pt
チーム横山奈緒29位	59498 pt
チーム横山奈緒30位	59167 pt
チーム二階堂千鶴1位	474226 pt
チーム二階堂千鶴2位	328222 pt
チーム二階堂千鶴3位	321574 pt
チーム二階堂千鶴4位	157365 pt
チーム二階堂千鶴5位	140405 pt
チーム二階堂千鶴6位	135788 pt
チーム二階堂千鶴7位	125340 pt
チーム二階堂千鶴8位	115710 pt
チーム二階堂千鶴9位	82616 pt
チーム二階堂千鶴10位	79448 pt
チーム二階堂千鶴11位	76815 pt
チーム二階堂千鶴12位	66660 pt
チーム二階堂千鶴13位	64021 pt
チーム二階堂千鶴14位	55484 pt
チーム二階堂千鶴15位	50440 pt
チーム二階堂千鶴16位	47515 pt
チーム二階堂千鶴17位	47148 pt
チーム二階堂千鶴18位	45574 pt
チーム二階堂千鶴19位	40853 pt
チーム二階堂千鶴20位	40241 pt
チーム二階堂千鶴21位	39694 pt
チーム二階堂千鶴22位	39625 pt
チーム二階堂千鶴23位	38736 pt
チーム二階堂千鶴24位	36373 pt
チーム二階堂千鶴25位	35920 pt
チーム二階堂千鶴26位	35334 pt
チーム二階堂千鶴27位	34622 pt
チーム二階堂千鶴28位	32984 pt
チーム二階堂千鶴29位	31520 pt
チーム二階堂千鶴30位	30797 pt
チーム馬場このみ1位	697013 pt
チーム馬場このみ2位	423314 pt
チーム馬場このみ3位	342025 pt
チーム馬場このみ4位	325763 pt
チーム馬場このみ5位	231556 pt
チーム馬場このみ6位	228389 pt
チーム馬場このみ7位	217187 pt
チーム馬場このみ8位	163577 pt
チーム馬場このみ9位	154941 pt
チーム馬場このみ10位	125926 pt
チーム馬場このみ11位	124911 pt
チーム馬場このみ12位	122670 pt
チーム馬場このみ13位	118393 pt
チーム馬場このみ14位	104221 pt
チーム馬場このみ15位	103290 pt
